2026-06-11 16:15:02.614 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK1:00000003, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/Auth/login'
2026-06-11 16:15:02.621 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK0:00000003, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/auth/{everything}'
2026-06-11 16:15:02.623 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK3:00000003, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/auth/{everything}'
2026-06-11 16:15:02.626 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK1:00000003, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/auth/{everything}'
2026-06-11 16:15:02.629 +05:30 [INF] ApiGateway | requestId: 0HNM7KPSITGK0:00000003, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/auth/{everything}'
2026-06-11 16:15:02.631 +05:30 [INF] ApiGateway | requestId: 0HNM7KPSITGK3:00000003, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/auth/{everything}'
2026-06-11 16:15:02.638 +05:30 [INF] ApiGateway | requestId: 0HNM7KPSITGK1:00000003, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/auth/{everything}'
2026-06-11 16:15:02.641 +05:30 [INF] ApiGateway | requestId: 0HNM7KPSITGK0:00000003, previousRequestId: No PreviousRequestId, message: 'No authentication needed for path '/api/Auth/login'.'
2026-06-11 16:15:02.643 +05:30 [INF] ApiGateway | requestId: 0HNM7KPSITGK3:00000003, previousRequestId: No PreviousRequestId, message: 'No authentication needed for path '/api/Auth/login'.'
2026-06-11 16:15:02.646 +05:30 [INF] ApiGateway | requestId: 0HNM7KPSITGK1:00000003, previousRequestId: No PreviousRequestId, message: 'No authentication needed for path '/api/Auth/login'.'
2026-06-11 16:15:02.651 +05:30 [INF] ApiGateway | requestId: 0HNM7KPSITGK0:00000003, previousRequestId: No PreviousRequestId, message: '/api/auth/{everything} route does not require user to be authorized'
2026-06-11 16:15:02.654 +05:30 [INF] ApiGateway | requestId: 0HNM7KPSITGK3:00000003, previousRequestId: No PreviousRequestId, message: '/api/auth/{everything} route does not require user to be authorized'
2026-06-11 16:15:02.657 +05:30 [INF] ApiGateway | requestId: 0HNM7KPSITGK1:00000003, previousRequestId: No PreviousRequestId, message: '/api/auth/{everything} route does not require user to be authorized'
2026-06-11 16:15:02.659 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK0:00000003, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5001/api/auth/login'
2026-06-11 16:15:02.661 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK3:00000003, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5001/api/auth/login'
2026-06-11 16:15:02.667 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK1:00000003, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5001/api/auth/login'
2026-06-11 16:15:02.690 +05:30 [WRN] ApiGateway | requestId: 0HNM7KPSITGK0:00000003, previousRequestId: No PreviousRequestId, message: '400 (Bad Request) status code of request URI: http://localhost:5001/api/auth/login.'
2026-06-11 16:15:02.690 +05:30 [WRN] ApiGateway | requestId: 0HNM7KPSITGK3:00000003, previousRequestId: No PreviousRequestId, message: '400 (Bad Request) status code of request URI: http://localhost:5001/api/auth/login.'
2026-06-11 16:15:02.694 +05:30 [WRN] ApiGateway | requestId: 0HNM7KPSITGK1:00000003, previousRequestId: No PreviousRequestId, message: '400 (Bad Request) status code of request URI: http://localhost:5001/api/auth/login.'
2026-06-11 16:15:02.695 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK0:00000003, previousRequestId: No PreviousRequestId, message: 'setting http response message'
2026-06-11 16:15:02.697 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK3:00000003, previousRequestId: No PreviousRequestId, message: 'setting http response message'
2026-06-11 16:15:02.700 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK1:00000003, previousRequestId: No PreviousRequestId, message: 'setting http response message'
2026-06-11 16:15:02.703 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK0:00000003, previousRequestId: No PreviousRequestId, message: 'no pipeline errors, setting and returning completed response'
2026-06-11 16:15:02.706 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK3:00000003, previousRequestId: No PreviousRequestId, message: 'no pipeline errors, setting and returning completed response'
2026-06-11 16:15:02.707 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK1:00000003, previousRequestId: No PreviousRequestId, message: 'no pipeline errors, setting and returning completed response'
2026-06-11 16:15:02.714 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK0:00000003, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline finished'
